index;Regon;Typ;Nazwa;Województwo;Powiat;Gmina;Kod Pocztowy;Miasto;Ulica;Informacja u usniętym wpisie
0;020246317;F;ARTEX LALKO ARTUR;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6 A lok. 6;----------------
1;020259277;F;PPH-U G-BUD GAZDA MARCIN;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2A lok. 13;----------------
2;020757816;F;WEN-ZBYCH JANKOWSKI ZBIGNIEW;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 11 lok. 9;----------------
3;021291060;F;TRUSTED FINANCIAL PORTFOLIO AGNIESZKA GIRUĆ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-230;Wrocław;ul. 3 Maja 2A lok. 14;----------------
4;021928190;F;MARCIN SZCZEPANIK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2A lok. 3;----------------
5;022257621;F;BEBEK Sebastian Klimowicz;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6a lok. 3;----------------
6;022276481;P;WSPÓLNOTA MIESZKANIOWA WROCŁAW UL.3-GO MAJA 7;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 7;----------------
7;360060730;F;LookService NNT ALEKSANDER POLAKOWSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 4a lok. 7;----------------
8;360998784;F;ZAKŁAD OGÓLNOBUDOWLANY SYLWESTER ANTCZAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2A lok. 10;----------------
9;365876590;F;JAN GUZIK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 12 lok. 8;----------------
